suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	1.3	[2m2026-06-10T03:53:27.662950Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	0.4	00:00.024 total
wildfly-health	cratonvm	1	FAIL	4.3	[cratonvm] System.exit(1) called — process terminating
wildfly-health	hotspot	-	SKIP	-	CratonVM not PASS
elasticsearch-version	cratonvm	70	FAIL	3.5	Exception
elasticsearch-version	hotspot	-	SKIP	-	-
gpu-bench-cpu	cratonvm	0	PASS	1.3	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.2	correctness=OK
gpu-offload-probe	cratonvm	0	PASS	1.6	OUT0=0 OUTN=1048600
gpu-offload-probe	hotspot	0	PASS	0.2	OUT0=0 OUTN=1048600
bc-asn1-regression	cratonvm	0	PASS	25.5	All tests successful.
bc-asn1-regression	hotspot	0	PASS	0.8	All tests successful.
bc-crypto-prng	cratonvm	0	PASS	32.3	All tests successful.
bc-crypto-prng	hotspot	0	PASS	0.5	All tests successful.
commons-math-junit-probe	cratonvm	0	PASS	4.9	EXEC_FOUND=4 SUCCEEDED=4 FAILED=0
commons-math-junit-probe	hotspot	0	PASS	0.5	EXEC_FOUND=1 SUCCEEDED=0 FAILED=1
dacapo-avrora	cratonvm	0	PASS	5.5	PASSED
dacapo-avrora	hotspot	127	N/S	0.7	FAILED
pool:kafka-codec	cratonvm	0	PASS	1.40	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.10	-
pool:spring-boot-run	cratonvm	0	PASS	2.85	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.11	-
pool:tomcat-server-info	cratonvm	0	PASS	1.31	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.11	-
